model,test_set,method,ece_reduction,ece_pre,ece_post
banglabert,test_standard,temp_scaling,0.016529591821434802,0.0376347614026844,0.0211051695812496
banglabert,test_dialect_chittagong,temp_scaling,0.025052780851539995,0.0862640218520914,0.0612112410005514
banglabert,test_dialect_noakhali,temp_scaling,0.0195880486785868,0.0477108250005554,0.0281227763219686
banglabert,test_dialect_barishal,temp_scaling,0.018949993691373904,0.0420763100725907,0.0231263163812168
banglabert,test_standard,dirichlet,0.0194162455702153,0.0376347614026844,0.0182185158324691
banglabert,test_dialect_chittagong,dirichlet,0.029758207103843394,0.0862640218520914,0.056505814748248
banglabert,test_dialect_noakhali,dirichlet,0.0168765418943063,0.0477108250005554,0.0308342831062491
banglabert,test_dialect_barishal,dirichlet,0.019598342987958303,0.0420763100725907,0.0224779670846324
xlmr_base,test_standard,temp_scaling,0.020382867316254098,0.0417369309956651,0.021354063679411
xlmr_base,test_dialect_chittagong,temp_scaling,0.019625090537725404,0.0981791575764378,0.0785540670387124
xlmr_base,test_dialect_noakhali,temp_scaling,0.018148284833247298,0.0587828723570075,0.0406345875237602
xlmr_base,test_dialect_barishal,temp_scaling,0.018145660790903004,0.0497949462196667,0.0316492854287637
xlmr_base,test_standard,dirichlet,0.025491459375945998,0.0417369309956651,0.0162454716197191
xlmr_base,test_dialect_chittagong,dirichlet,0.030098557845969598,0.0981791575764378,0.0680805997304682
xlmr_base,test_dialect_noakhali,dirichlet,0.0235679390459664,0.0587828723570075,0.0352149333110411
xlmr_base,test_dialect_barishal,dirichlet,0.029860413063383003,0.0497949462196667,0.0199345331562837
distilbert_multi,test_standard,temp_scaling,0.002833575010299662,0.04006816185736754,0.03723458684706788
distilbert_multi,test_dialect_chittagong,temp_scaling,0.013221841866539324,0.07088605731443344,0.057664215447894115
distilbert_multi,test_dialect_noakhali,temp_scaling,0.001376778615120762,0.06377513248842161,0.062398353873300845
distilbert_multi,test_dialect_barishal,temp_scaling,0.011894157146612093,0.059093786736999575,0.04719962959038748
