model,test_set,stage,aurc
banglabert,test_standard,pre_calibration,0.01502697721848734
banglabert,test_standard,temp_scaling,0.01502697721848734
banglabert,test_standard,dirichlet,0.01468420329634666
banglabert,test_dialect_chittagong,pre_calibration,0.06268836436599266
banglabert,test_dialect_chittagong,temp_scaling,0.06268836436599266
banglabert,test_dialect_chittagong,dirichlet,0.06032750967311521
banglabert,test_dialect_noakhali,pre_calibration,0.019590116343897176
banglabert,test_dialect_noakhali,temp_scaling,0.019590116343897176
banglabert,test_dialect_noakhali,dirichlet,0.019683336142065636
banglabert,test_dialect_barishal,pre_calibration,0.01919009688973519
banglabert,test_dialect_barishal,temp_scaling,0.01919009688973519
banglabert,test_dialect_barishal,dirichlet,0.0184023349325937
xlmr_base,test_standard,pre_calibration,0.02351385883632068
xlmr_base,test_standard,temp_scaling,0.02351385883632068
xlmr_base,test_standard,dirichlet,0.02367970198001915
xlmr_base,test_dialect_chittagong,pre_calibration,0.07054773334704434
xlmr_base,test_dialect_chittagong,temp_scaling,0.07054773334704434
xlmr_base,test_dialect_chittagong,dirichlet,0.06949519506158007
xlmr_base,test_dialect_noakhali,pre_calibration,0.03311646360281991
xlmr_base,test_dialect_noakhali,temp_scaling,0.03311646360281991
xlmr_base,test_dialect_noakhali,dirichlet,0.036168304869237805
xlmr_base,test_dialect_barishal,pre_calibration,0.030120886131563565
xlmr_base,test_dialect_barishal,temp_scaling,0.030120886131563565
xlmr_base,test_dialect_barishal,dirichlet,0.031005857801028804
