model,test_set,stage,accuracy,ece,mce,brier,nll
banglabert,test_standard,pre_calibration,0.9270232650626367,0.03579621323547423,0.25048766449999993,0.05767716304290451,0.21004347582282779
banglabert,test_dialect_chittagong,pre_calibration,0.842156862745098,0.09196641473290851,0.21323376546735395,0.1284985317819034,0.45072688633676716
banglabert,test_dialect_noakhali,pre_calibration,0.9081999346618752,0.04327848549885662,0.2699211897727273,0.07143468599323667,0.25153373832558573
banglabert,test_dialect_barishal,pre_calibration,0.9160405096373734,0.045685306953577344,0.39323488414634156,0.06722589137743157,0.2517113006655102
xlmr_base,test_standard,pre_calibration,0.9057466693179559,0.02934909713211379,0.23523637945652182,0.072799843846375,0.2492301813170459
xlmr_base,test_dialect_chittagong,pre_calibration,0.822875816993464,0.05239469583656864,0.20710421254237288,0.12938613127622492,0.4115922358487386
xlmr_base,test_dialect_noakhali,pre_calibration,0.8846782097353806,0.020883432941914453,0.18212274878787882,0.08682472077884629,0.2878737777607087
xlmr_base,test_dialect_barishal,pre_calibration,0.8908853315909834,0.032242713501078074,0.20214963513761472,0.08194800701155655,0.2754970172988697
banglabert,test_standard,temp_scaling,0.9270232650626367,0.018619442109782287,0.2398671395156342,0.05594258524032067,0.19616265010387254
banglabert,test_standard,dirichlet,0.9284151918870551,0.01328894267129443,0.16519991973582787,0.055411685938225784,0.1943654634569975
banglabert,test_dialect_chittagong,temp_scaling,0.842156862745098,0.06870641244333157,0.1822910585955848,0.12326378533443505,0.40559341383777775
banglabert,test_dialect_chittagong,dirichlet,0.8431372549019608,0.053574866904604945,0.1665499283296937,0.1203585119148847,0.38847917695299267
banglabert,test_dialect_noakhali,temp_scaling,0.9081999346618752,0.023919382438268112,0.1990885356081815,0.06903649091995105,0.234456968444127
banglabert,test_dialect_noakhali,dirichlet,0.9091800065338125,0.02320573204397569,0.23079535222970943,0.06853172605665747,0.23307085210090075
banglabert,test_dialect_barishal,temp_scaling,0.9160405096373734,0.03166922947866093,0.2556276976209362,0.06503095629194368,0.2292197963682935
banglabert,test_dialect_barishal,dirichlet,0.9173472721332898,0.022856699533489486,0.33254783983989733,0.06393717170818394,0.22293790986773562
xlmr_base,test_standard,temp_scaling,0.9057466693179559,0.02551012535621591,0.17741039952701954,0.07213490999956022,0.24523168432158746
xlmr_base,test_standard,dirichlet,0.906740902763969,0.014263488667703963,0.11665233665801067,0.07057275549031017,0.24053577657430428
xlmr_base,test_dialect_chittagong,temp_scaling,0.822875816993464,0.04140322015249071,0.14591218743768714,0.12778213666547258,0.4029759316695724
xlmr_base,test_dialect_chittagong,dirichlet,0.8235294117647058,0.03175510108118069,0.08835976942074308,0.1260980249403627,0.39655820093475247
xlmr_base,test_dialect_noakhali,temp_scaling,0.8846782097353806,0.01876924488313802,0.18253602741885855,0.08647635999389902,0.2866155484462337
xlmr_base,test_dialect_noakhali,dirichlet,0.8869650441032343,0.04254791656410328,0.12776377728274757,0.08829803283225213,0.2947132589821578
xlmr_base,test_dialect_barishal,temp_scaling,0.8908853315909834,0.026357998699765794,0.18589233371209402,0.081397387816749,0.27275083814734713
xlmr_base,test_dialect_barishal,dirichlet,0.8925187847108788,0.026256068724207732,0.1632757809747144,0.08006174101209981,0.2706417929268392
