model,test_set,stage,accuracy,ece,mce,brier,nll
banglabert,test_standard,pre_calibration,0.9270232650626368,0.0357962132354742,0.2504876644999999,0.0576771630429045,0.2100434758228277
banglabert,test_dialect_chittagong,pre_calibration,0.842156862745098,0.0919664147329085,0.2132337654673539,0.1284985317819034,0.4507268863367671
banglabert,test_dialect_noakhali,pre_calibration,0.9081999346618752,0.0432784854988566,0.2699211897727273,0.0714346859932366,0.2515337383255857
banglabert,test_dialect_barishal,pre_calibration,0.9160405096373734,0.0456853069535773,0.3932348841463415,0.0672258913774315,0.2517113006655102
xlmr_base,test_standard,pre_calibration,0.905746669317956,0.0293490971321137,0.2352363794565218,0.072799843846375,0.2492301813170459
xlmr_base,test_dialect_chittagong,pre_calibration,0.822875816993464,0.0523946958365686,0.2071042125423728,0.1293861312762249,0.4115922358487386
xlmr_base,test_dialect_noakhali,pre_calibration,0.8846782097353806,0.0208834329419144,0.1821227487878788,0.0868247207788462,0.2878737777607087
xlmr_base,test_dialect_barishal,pre_calibration,0.8908853315909834,0.032242713501078,0.2021496351376147,0.0819480070115565,0.2754970172988697
banglabert,test_standard,temp_scaling,0.9270232650626368,0.0186194421097822,0.2398671395156342,0.0559425852403206,0.1961626501038725
banglabert,test_standard,dirichlet,0.9284151918870552,0.0132889426712944,0.1651999197358278,0.0554116859382257,0.1943654634569975
banglabert,test_dialect_chittagong,temp_scaling,0.842156862745098,0.0687064124433315,0.1822910585955848,0.123263785334435,0.4055934138377777
banglabert,test_dialect_chittagong,dirichlet,0.8431372549019608,0.0535748669046049,0.1665499283296937,0.1203585119148847,0.3884791769529926
banglabert,test_dialect_noakhali,temp_scaling,0.9081999346618752,0.0239193824382681,0.1990885356081815,0.069036490919951,0.234456968444127
banglabert,test_dialect_noakhali,dirichlet,0.9091800065338124,0.0232057320439756,0.2307953522297094,0.0685317260566574,0.2330708521009007
banglabert,test_dialect_barishal,temp_scaling,0.9160405096373734,0.0316692294786609,0.2556276976209362,0.0650309562919436,0.2292197963682935
banglabert,test_dialect_barishal,dirichlet,0.9173472721332898,0.0228566995334894,0.3325478398398973,0.0639371717081839,0.2229379098677356
xlmr_base,test_standard,temp_scaling,0.905746669317956,0.0255101253562159,0.1774103995270195,0.0721349099995602,0.2452316843215874
xlmr_base,test_standard,dirichlet,0.906740902763969,0.0142634886677039,0.1166523366580106,0.0705727554903101,0.2405357765743042
xlmr_base,test_dialect_chittagong,temp_scaling,0.822875816993464,0.0414032201524907,0.1459121874376871,0.1277821366654725,0.4029759316695724
xlmr_base,test_dialect_chittagong,dirichlet,0.8235294117647058,0.0317551010811806,0.088359769420743,0.1260980249403627,0.3965582009347524
xlmr_base,test_dialect_noakhali,temp_scaling,0.8846782097353806,0.018769244883138,0.1825360274188585,0.086476359993899,0.2866155484462337
xlmr_base,test_dialect_noakhali,dirichlet,0.8869650441032343,0.0425479165641032,0.1277637772827475,0.0882980328322521,0.2947132589821578
xlmr_base,test_dialect_barishal,temp_scaling,0.8908853315909834,0.0263579986997657,0.185892333712094,0.081397387816749,0.2727508381473471
xlmr_base,test_dialect_barishal,dirichlet,0.8925187847108788,0.0262560687242077,0.1632757809747144,0.0800617410120998,0.2706417929268392
distilbert_multi,test_standard,pre_calibration,0.9013720421554982,0.03735281196329354,0.17549334872852673,0.07488338962241778,0.25587132889951725
distilbert_multi,test_standard,temp_scaling,0.9013720421554982,0.022740785150291862,0.1624897899049701,0.07318905545215726,0.2455444377024153
distilbert_multi,test_dialect_chittagong,pre_calibration,0.822280300555374,0.08147581483790277,0.19355445861816406,0.135771370926235,0.45291127688223926
distilbert_multi,test_dialect_chittagong,temp_scaling,0.822280300555374,0.05570710541200341,0.11729454028774317,0.1314018789948027,0.42030991984810084
distilbert_multi,test_dialect_noakhali,pre_calibration,0.8784710878797779,0.05754346100626254,0.29884407737038354,0.09244130022433357,0.3118115968673298
distilbert_multi,test_dialect_noakhali,temp_scaling,0.8784710878797779,0.043412623830244315,0.25063407829363055,0.09001458427702165,0.2953692939527402
distilbert_multi,test_dialect_barishal,pre_calibration,0.8895785690950669,0.04849258660101805,0.18133006493250525,0.08715533582878769,0.30473032378719733
distilbert_multi,test_dialect_barishal,temp_scaling,0.8895785690950669,0.028660072037467614,0.20902029410848078,0.08524382535808468,0.28751046683853354
