seed,model,test_set,n,accuracy,macro_f1,ece,mce,brier,nll
42,banglabert,test_standard,5029,0.9238417180353947,0.9238103755880486,0.03763476140268443,0.3900909707142858,0.059836617667033035,0.21042256869651382
42,banglabert,test_dialect_chittagong,3060,0.8441176470588235,0.8432853536408224,0.08626402185209144,0.25485992000000013,0.12609398875699374,0.4340050313891313
42,banglabert,test_dialect_noakhali,3061,0.9036262659261679,0.9036081186111337,0.04771082500055542,0.2953585944444445,0.07562227350534395,0.25375350871078106
42,banglabert,test_dialect_barishal,3061,0.9199607971251225,0.9199591227943786,0.042076310072590724,0.30146069000000003,0.06499094198343165,0.23395245437685339
42,xlmr_base,test_standard,5029,0.9176774706701133,0.9175706942095361,0.04173693099566513,0.2273680438095238,0.0658218631629452,0.23414207672992243
42,xlmr_base,test_dialect_chittagong,3060,0.8199346405228758,0.819932313619756,0.09817915757643787,0.3318050497826087,0.1401025825801312,0.47429590947554723
42,xlmr_base,test_dialect_noakhali,3061,0.8899052597190461,0.8898683992084628,0.05878287235700751,0.34613111888888887,0.0887270608852453,0.30812003375662783
42,xlmr_base,test_dialect_barishal,3061,0.903952956550147,0.9039512241353695,0.04979494621966675,0.33729609142857137,0.07674710154111425,0.2755003969047598
123,banglabert,test_standard,5029,0.9264267249950289,0.926407633517743,0.035132813729459866,0.38717220379756045,0.058698919499798795,0.20880515348582487
123,banglabert,test_dialect_chittagong,3060,0.8431372549019608,0.8426166102909536,0.09288442425271558,0.190949375812824,0.1292999085643998,0.4590285047134703
123,banglabert,test_dialect_noakhali,3061,0.9036262659261679,0.9035939993071114,0.05025851569901843,0.33982954656376557,0.0767090660367365,0.26196162488954505
123,banglabert,test_dialect_barishal,3061,0.9180006533812479,0.9179956121930016,0.043464433711553986,0.35059694332235,0.06614132595071312,0.23793131684135402
123,xlmr_base,test_standard,5029,0.9182740107377212,0.9181912018967087,0.024188584666776963,0.21995522101720177,0.06425576720678963,0.2230224196736973
123,xlmr_base,test_dialect_chittagong,3060,0.8359477124183007,0.8355525580499085,0.03608800135796365,0.14802614368241407,0.12151358675075463,0.39926662835902105
123,xlmr_base,test_dialect_noakhali,3061,0.8895785690950669,0.8895784630306673,0.039837189469022774,0.22581678145640605,0.08598087704178356,0.2956135309693043
123,xlmr_base,test_dialect_barishal,3061,0.9006860503103561,0.9006745061605579,0.029626511289272288,0.2042892654736837,0.07466412679533191,0.2597297855661183
7,banglabert,test_standard,5029,0.921057864386558,0.9210172781738317,0.043189807003669506,0.23572983207373788,0.0647513288066548,0.23370423733375537
7,banglabert,test_dialect_chittagong,3060,0.8238562091503268,0.823781514463551,0.10215959385329598,0.32331040927342003,0.13872563605574564,0.4706398708671665
